professor,query,rank,result_count,top5,included_top3,included_top5
유천열,자성 박막,2,2,홍정일 | 유천열,True,True
유천열,magnetic thin films,1,3,유천열 | 홍정일 | 김철기,True,True
유천열,마이크로자기 시뮬레이션,1,1,유천열,True,True
유천열,micromagnetic simulation,1,1,유천열,True,True
유천열,스핀 나노소자,1,1,유천열,True,True
유천열,spin nanodevice,1,1,유천열,True,True
유천열,차세대 메모리 소자,1,1,유천열,True,True
유천열,자기 논리소자,1,1,유천열,True,True
서상원,친환경 촉매반응,1,5,서상원 | 정병혁 | 이성기 | 김성균 | 박진희,True,True
서상원,sustainable catalysis,1,5,서상원 | 정병혁 | 이성기 | 김성균 | 박진희,True,True
서상원,비귀금속 촉매,1,5,서상원 | 정병혁 | 이성기 | 김성균 | 박진희,True,True
서상원,base metal catalysis,1,5,서상원 | 정병혁 | 이성기 | 김성균 | 박진희,True,True
서상원,바이오촉매,1,5,서상원 | 정병혁 | 이성기 | 김성균 | 박진희,True,True
서상원,biocatalysis,1,5,서상원 | 정병혁 | 이성기 | 김성균 | 박진희,True,True
서상원,분자설계,1,1,서상원,True,True
서상원,molecular design,1,1,서상원,True,True
서상원,지속가능 합성,1,2,서상원 | 김성균,True,True
서상원,sustainable synthesis,1,1,서상원,True,True
서상원,유기금속 촉매,1,5,서상원 | 정병혁 | 이성기 | 김성균 | 박진희,True,True
서상원,organometallic catalysis,1,5,서상원 | 정병혁 | 이성기 | 김성균 | 박진희,True,True
서상원,반응 메커니즘 연구,2,2,김종구 | 서상원,True,True
서상원,원자경제적 합성,1,1,서상원,True,True
김종구,반응 메커니즘,1,1,김종구,True,True
김종구,reaction mechanism,1,1,김종구,True,True
김종구,구조동역학,1,1,김종구,True,True
김종구,structural dynamics,1,1,김종구,True,True
김종구,단백질 구조동역학,1,1,김종구,True,True
김종구,protein structural dynamics,1,1,김종구,True,True
김종구,용액상 반응동역학,1,1,김종구,True,True
김종구,solution-phase reaction dynamics,1,1,김종구,True,True
김종구,시간분해 X선 산란,1,1,김종구,True,True
김종구,time-resolved x-ray scattering,1,1,김종구,True,True
김종구,분자구조 실시간 추적,1,1,김종구,True,True
김종구,몬테카를로 구조분석,1,1,김종구,True,True
김종구,분자동역학 구조분석,1,1,김종구,True,True
김소연,강상관 물질 분광,1,3,김소연 | 김아람 | 이재동,True,True
김소연,correlated matter spectroscopy,1,3,김소연 | 성주영 | 김종구,True,True
김소연,강상관 양자물질,1,3,김소연 | 김아람 | 이재동,True,True
김소연,strongly correlated quantum materials,1,3,김소연 | 김아람 | 이재동,True,True
김소연,집단 들뜸,1,1,김소연,True,True
김소연,collective excitations,1,1,김소연,True,True
김소연,창발현상,1,1,김소연,True,True
김소연,emergent phenomena,1,1,김소연,True,True
김소연,초고속 광분광,1,2,김소연 | 성주영,True,True
김소연,ultrafast optical spectroscopy,1,2,김소연 | 성주영,True,True
김소연,평형 광분광,1,2,김소연 | 성주영,True,True
김소연,equilibrium optical spectroscopy,1,2,김소연 | 성주영,True,True
김소연,XFEL X선 산란,1,1,김소연,True,True
김소연,XFEL-based x-ray scattering,1,1,김소연,True,True
김소연,광펌프,1,1,김소연,True,True
김소연,일축 변형 분광,1,3,김소연 | 성주영 | 김종구,True,True
